Job Titles,Department,Full or Part-Time,Salary or Hourly,Typical Hours,Annual Salary,Hourly Rate
FIREFIGHTER/PARAMEDIC,CHICAGO FIRE DEPARTMENT,F,SALARY,,101262,
MACHINIST (AUTOMOTIVE),DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,55.74
SUPERVISING TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,53340,
MACHINIST (AUTOMOTIVE),DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,55.74
HOISTING ENGINEER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,55.3
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,105936,
FIREFIGHTER,CHICAGO FIRE DEPARTMENT,F,SALARY,,99876,
CARPENTER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,53.51
LABORER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,45.29
SANITATION LABORER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.29
SANITATION LABORER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.29
BLACKSMITH,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,52.1
MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.68
ELECTRICAL MECHANIC,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,53.8
LIEUTENANT-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,135144,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,105936,
MOTOR TRUCK DRIVER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,45.68
AVIATION SECURITY OFFICER,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,71448,
BATTALION CHIEF - EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,161082,
FIRE ENGINEER,CHICAGO FIRE DEPARTMENT,F,SALARY,,108096,
POOL MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,P,HOURLY,10,,36.54
SANITATION LABORER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,47.29
POOL MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.68
MOTOR TRUCK DRIVER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,45.68
SUPERVISING POLICE COMMUNICATIONS OPERATOR,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,109872,
FRM OF ELECTRICAL MECHANICS (AUTO),DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,58.37
FIREFIGHTER/PARAMEDIC,CHICAGO FIRE DEPARTMENT,F,SALARY,,108444,
CEMENT FINISHER APPRENTICE,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,25.38
POOL MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,41.11
OPERATING ENGINEER-GROUP C,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,54.51
MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,45.68
FOREMAN OF MOTOR TRUCK DRIVERS,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,49.11
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,80448,
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,76122,
PARAMEDIC,CHICAGO FIRE DEPARTMENT,F,SALARY,,76122,
POOL MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,P,HOURLY,10,,36.54
MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,45.68
OPERATING ENGINEER-GROUP A,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,57.38
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,80448,
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,67284,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
POOL MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.68
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,105936,
MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,46.37
MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,45.68
CONCRETE LABORER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,44.01
LIEUTENANT,CHICAGO FIRE DEPARTMENT,F,SALARY,,127410,
FOREMAN OF WATER PIPE CONSTRUCTION,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,60.2
ASST DISTRICT SUPERINTENDENT,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,129375.96,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,114570,
PLUMBER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,56.8
CONSTRUCTION LABORER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,48.9
LIEUTENANT-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,130908,
CARPENTER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,53.51
LIEUTENANT-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,122976,
GENERAL LABORER - DSS,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,24.91
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
SEWER BRICKLAYER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,50.81
TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,44292,
HOISTING ENGINEER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,56.6
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
CAPTAIN-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,147258,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
ASPHALT LABORER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,48.9
CONSTRUCTION LABORER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,48.9
ELECTRICAL MECHANIC,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,53.8
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,84612,
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,103524,
MOTOR TRUCK DRIVER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,45.68
AVIATION COMMUNICATIONS OPERATOR,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,61308,
FIRE ENGINEER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,118830,
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,98892,
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,62466,
LIEUTENANT-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,135144,
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,62466,
FOSTER GRANDPARENT,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,P,HOURLY,20,,4
POOL MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,41.11
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,67284,
FIREFIGHTER,CHICAGO FIRE DEPARTMENT,F,SALARY,,108036,
POOL MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.68
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,76122,
DETENTION AIDE,CHICAGO POLICE DEPARTMENT,F,SALARY,,78384,
HOISTING ENGINEER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,56.6
SANITATION LABORER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.29
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,78384,
DETENTION AIDE,CHICAGO POLICE DEPARTMENT,F,SALARY,,68196,
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,80448,
FIREFIGHTER,CHICAGO FIRE DEPARTMENT,F,SALARY,,103914,
SUPVSR OF ELECTRICAL INSPECTORS,DEPARTMENT OF BUILDINGS,F,SALARY,,122720.04,
MOTOR TRUCK DRIVER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,45.68
LIEUTENANT-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,130908,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
ASST DISTRICT SUPERINTENDENT,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,129375,
LABORER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,33.97
OPERATING ENGINEER-GROUP A,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,57.38
MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.68
POOL MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,45.68
CARPENTER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,53.51
FRM OF MACHINISTS - AUTOMOTIVE,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,59.74
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,80448,
SUPERVISING FIRE COMMUNICATIONS OPERATOR,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,137280,
CAPTAIN-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,147258,
FIRE ENGINEER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,107166,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
SANITATION LABORER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.29
POOL MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,45.68
PLUMBER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,56.8
FIRE ENGINEER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,122274,
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,67284,
PARAMEDIC I/C,CHICAGO FIRE DEPARTMENT,F,SALARY,,112020,
POOL MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,45.68
AMBULANCE COMMANDER,CHICAGO FIRE DEPARTMENT,F,SALARY,,134736,
FIRE ENGINEER-PARAMEDIC,CHICAGO FIRE DEPARTMENT,F,SALARY,,121656,
FIRE ENGINEER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,110766,
SANITATION LABORER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,33.97
FIREFIGHTER/PARAMEDIC,CHICAGO FIRE DEPARTMENT,F,SALARY,,96402,
MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.68
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,84612,
CONSTRUCTION LABORER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,48.9
POOL MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,41.11
HOSPITALITY WORKER,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,P,HOURLY,20,,15.8
CONSTRUCTION LABORER (SUB-FOREMAN),DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,49.7
FOREMAN OF HOISTING ENGINEERS,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,60.6
FIREFIGHTER,CHICAGO FIRE DEPARTMENT,F,SALARY,,99876,
GENERAL LABORER - DSS,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,24.91
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,105936,
CONSTRUCTION LABORER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,48.9
PLUMBER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,56.8
MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,46.37
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,80448,
PLUMBER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,56.8
CONCRETE LABORER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,48.9
FIRE ENGINEER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,114654,
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,84612,
MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,45.68
SUPERVISING POLICE COMMUNICATIONS OPERATOR,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,109872,
POOL MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,45.68
SANITATION LABORER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,29.44
FIRE ENGINEER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,114654,
PARAMEDIC I/C,CHICAGO FIRE DEPARTMENT,F,SALARY,,104430,
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,62466,
AVIATION SECURITY OFFICER,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,94368,
DETENTION AIDE,CHICAGO POLICE DEPARTMENT,F,SALARY,,68196,
LIEUTENANT-PARAMEDIC,CHICAGO FIRE DEPARTMENT,F,SALARY,,138378,
SHEET METAL WORKER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,51.15
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,105936,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,102372,
MOTOR TRUCK DRIVER - TIRE REPAIR,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,46.37
LABORER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,45.29
DETENTION AIDE,CHICAGO POLICE DEPARTMENT,F,SALARY,,86016,
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,84612,
ASST DISTRICT SUPERINTENDENT,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,129375.96,
POOL MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,41.11
GENERAL LABORER - DSS,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,24.91
PARAMEDIC,CHICAGO FIRE DEPARTMENT,F,SALARY,,84612,
ASST CHIEF ELEVATOR INSPECTOR,DEPARTMENT OF BUILDINGS,F,SALARY,,161904.6,
MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,45.68
MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,45.68
CONSTRUCTION LABORER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,48.9
AVIATION SECURITY OFFICER,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,68196,
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,64272,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
POOL MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,P,HOURLY,10,,36.54
LABORER,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,48.9
LABORER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,45.29
MOTOR TRUCK DRIVER,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,45.68
ELECTRICAL INSPECTOR,DEPARTMENT OF BUILDINGS,F,SALARY,,121415.88,
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,84612,
EQUIPMENT DISPATCHER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,46.48
CAPTAIN-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,147258,
HOISTING ENGINEER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,56.6
FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,CHICAGO FIRE DEPARTMENT,F,SALARY,,117384,
POOL MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,45.68
MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.68
AMBULANCE COMMANDER,CHICAGO FIRE DEPARTMENT,F,SALARY,,138828,
FOREMAN OF PLUMBERS,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,60.2
POOL MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,45.68
POOL MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,45.68
MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,45.68
FIRE ENGINEER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,122274,
FIRE ENGINEER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,114654,
FOREMAN OF PAINTERS,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,57.99
OPERATING ENGINEER-GROUP A,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,57.38
AVIATION SECURITY OFFICER,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,55932,
SANITATION LABORER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.29
MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,45.68
LINEMAN - SALARIED,OFFICE OF PUBLIC SAFETY ADMINISTRATION,F,SALARY,,125112,
LIEUTENANT-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,126840,
BATTALION CHIEF-PARAMEDIC,CHICAGO FIRE DEPARTMENT,F,SALARY,,169830,
LABORER - APPRENTICE,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,44.01
GENERAL LABORER - DSS,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,24.91
CAPTAIN,CHICAGO FIRE DEPARTMENT,F,SALARY,,138828,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,102372,
ELECTRICAL MECHANIC,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,53.8
PLUMBER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,56.8
FLEET SERVICES ASST,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,31.52
CARPENTER,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,53.51
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,84612,
FIRE ENGINEER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,107166,
MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,45.68
PARAMEDIC,CHICAGO FIRE DEPARTMENT,F,SALARY,,93252,
MACHINIST,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,55.74
CAPTAIN-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,151764,
LIEUTENANT,CHICAGO FIRE DEPARTMENT,F,SALARY,,123420,
PARAMEDIC I/C,CHICAGO FIRE DEPARTMENT,F,SALARY,,101052,
DETENTION AIDE,CHICAGO POLICE DEPARTMENT,F,SALARY,,74844,
OPERATING ENGINEER-GROUP C,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,54.51
SANITATION LABORER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.29
POOL MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,45.68
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,105936,
FIREFIGHTER,CHICAGO FIRE DEPARTMENT,F,SALARY,,99876,
OPERATING ENGINEER-GROUP A,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,57.38
CAPTAIN-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,151764,
CARPENTER,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,53.51
MANAGER OF VEHICLE ADJUSTMENTS,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,SALARY,,107676,
SANITATION LABORER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.29
MACHINIST,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,55.74
TRAFFIC SIGNAL REPAIRMAN,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,125112,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,84612,
FIRE ENGINEER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,118830,
TRAFFIC CONTROL AIDE-HOURLY,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,P,HOURLY,20,,22.04
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
BATTALION CHIEF - EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,165858,
LABORER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,48.9
HOISTING ENGINEER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,56.6
FOSTER GRANDPARENT,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,P,HOURLY,20,,4
POOL MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.68
LABORER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,45.29
POOL MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,36.54
MOTOR TRUCK DRIVER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,45.68
LIEUTENANT-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,135144,
LABORER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,45.29
SANITATION LABORER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,33.97
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
HOISTING ENGINEER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,56.6
PLUMBER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,56.8
PARAMEDIC FIELD CHIEF,CHICAGO FIRE DEPARTMENT,F,SALARY,,151860,
CEMENT FINISHER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,50.75
PARAMEDIC,CHICAGO FIRE DEPARTMENT,F,SALARY,,76122,
CONSTRUCTION EQUIPMENT INSPECTOR,DEPARTMENT OF BUILDINGS,F,SALARY,,126048,
ASST DISTRICT SUPERINTENDENT,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,129375.96,
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,58560,
OPERATING ENGINEER-GROUP A,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,57.38
FRM OF MACHINISTS - AUTOMOTIVE,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,59.74
FIREFIGHTER,CHICAGO FIRE DEPARTMENT,F,SALARY,,108036,
PAINTER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,51.55
MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.68
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,78384,
FLEET SERVICES ASST,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,31.52
MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.68
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,80448,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
FIRE ENGINEER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,114654,
LABORER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,45.29
LABORER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,48.9
FIRE ENGINEER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,110766,
NON-CDL DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,33.35
ELECTRICAL MECHANIC,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,53.8
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,110196,
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,62466,
CONSTRUCTION LABORER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,48.9
FOREMAN OF WATER PIPE CONSTRUCTION,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,60.2
POOL MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,P,HOURLY,10,,36.54
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
AVIATION SECURITY OFFICER,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,68196,
SANITATION LABORER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.29
POOL MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,41.11
CONCRETE LABORER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,48.9
